timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749973925614,14003,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973926615,14225,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973926615,13991,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973927617,19497,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973927618,14113,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973928619,17760,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973928619,14122,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973929619,27601,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973929619,14135,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973930619,12006,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973930619,14174,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973931619,55545,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973931619,14517,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973932620,15275,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973932620,14461,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973933620,24555,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973933620,14453,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973934620,19568,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973934620,14455,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973935620,18939,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973935620,14466,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973936621,21531,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973936621,14477,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973937621,18021,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973937621,14372,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973938621,17974,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973938621,14415,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973939622,19292,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973939622,14358,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973940622,17453,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973940622,14391,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973941623,17453,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973941623,14391,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973942624,17453,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973942624,14391,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973943624,17453,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973943624,14391,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973944625,19030,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973944625,14499,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973945625,17314,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973945625,14534,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973946625,20253,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973946625,14561,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973947626,21639,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973947626,14529,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973948627,19832,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973948627,14554,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973949628,20084,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973949628,14527,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973950629,15993,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973950629,14557,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973951629,18583,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973951629,14525,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973952629,12774,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973952629,14507,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973953630,25798,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973953630,14611,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973954630,15113,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
1749973954631,14602,172.21.18.237 Memory,,,,,true,,0,0,0,0,null,0,0,0
1749973955631,18644,172.21.18.237 CPU,,,,,true,,0,0,0,0,null,0,0,0
